Issue Type,Summary,Description,Priority,Labels,Parent
Story,Admin Page Foundation,Create the admin section with protected routing and tab-based navigation between User Manager and Content Manager.,Medium,frontend,
Task,Create admin route and page component,Set up a React route for /admin and build the base admin page component.,Medium,frontend,Admin Page Foundation
Sub-task,Restrict admin route to admin role only,Redirect non-admin users away from the admin route using a role guard.,Medium,frontend,Create admin route and page component
Task,Implement admin navigation,Build a navigation component (tabs or links) to switch between User Manager and Content Manager.,Medium,frontend,Admin Page Foundation
Story,User Manager - List and Search,Display a paginated searchable table of all users for admin management.,Medium,frontend,
Task,Build User Manager data table component,Create the table UI that fetches and renders user data from the Redux store.,Medium,frontend,User Manager - List and Search
Sub-task,Display paginated list with default 10 users per page,Implement pagination showing 10 users per page by default.,Medium,frontend,Build User Manager data table component
Sub-task,Add results-per-page dropdown,Add a dropdown to switch between 10 / 15 / 20 results per page.,Medium,frontend,Build User Manager data table component
Sub-task,Connect User Manager to Redux store,Wire the component to fetch user data via Redux action on mount.,Medium,frontend,Build User Manager data table component
Task,Implement user search by first and last name,Add a search input that filters the user list by first or last name.,Medium,frontend,User Manager - List and Search
Sub-task,Add search input field,Build the text input UI element for name search.,Low,frontend,Implement user search by first and last name
Sub-task,Wire search input to Redux action and API call,Dispatch the search action and call the backend on input change.,Medium,frontend,Implement user search by first and last name
Story,User Manager - Edit User,Allow admins to update user information including password with validation.,Medium,frontend,
Task,Build user edit modal and form,Create the edit modal containing a form pre-populated with the selected user's data.,Medium,frontend,User Manager - Edit User
Sub-task,Pre-populate form fields with existing user data,Load selected user's current values into the form on modal open.,Medium,frontend,Build user edit modal and form
Sub-task,Add password and confirmation field validation,Validate that new password and confirmation password match before allowing submission.,Medium,frontend,Build user edit modal and form
Task,Implement edit confirmation modal,Show a confirmation prompt before submitting the edit request.,Medium,frontend,User Manager - Edit User
Task,Wire edit form to Redux action and PUT endpoint,Dispatch the update user action on confirmation and handle success and error states.,Medium,frontend,User Manager - Edit User
Story,User Manager - Delete User,Allow admins to delete a user with cascade delete handled by the backend.,Medium,frontend,
Task,Implement delete user button with confirmation modal,Show a confirmation prompt before sending the delete request.,Medium,frontend,User Manager - Delete User
Task,Wire user delete to Redux action and DELETE endpoint,Dispatch delete action on confirmation and remove user from Redux store on success.,Medium,frontend,User Manager - Delete User
Story,Content Manager - List and Date Filtering,Display a paginated date-filterable table of all posts for admin management.,Medium,frontend,
Task,Build Content Manager data table component,Create the table UI that fetches and renders post data from the Redux store.,Medium,frontend,Content Manager - List and Date Filtering
Sub-task,Display paginated list with default 10 posts per page,Implement pagination showing 10 posts per page by default.,Medium,frontend,Build Content Manager data table component
Sub-task,Add results-per-page dropdown,Add a dropdown to switch between 10 / 15 / 20 results per page.,Medium,frontend,Build Content Manager data table component
Sub-task,Connect Content Manager to Redux store,Wire the component to fetch post data via Redux action on mount.,Medium,frontend,Build Content Manager data table component
Task,Implement date range filter,Add date range input fields that filter posts between a start and end date.,Medium,frontend,Content Manager - List and Date Filtering
Sub-task,Add date range input fields,Build start date and end date input UI elements.,Low,frontend,Implement date range filter
Sub-task,Wire date filter to Redux action and API call,Dispatch the filter action and call the backend when dates change.,Medium,frontend,Implement date range filter
Story,Content Manager - Delete Post,Allow admins to delete a post with cascade delete of its comments handled by the backend.,Medium,frontend,
Task,Implement delete post button with confirmation modal,Show a confirmation prompt before sending the delete request.,Medium,frontend,Content Manager - Delete Post
Task,Wire post delete to Redux action and DELETE endpoint,Dispatch delete action on confirmation and remove post from Redux store on success.,Medium,frontend,Content Manager - Delete Post
Story,Skeleton Loaders - Reactive Design,Show loading skeleton bars during data fetches and CRUD operations to improve perceived performance.,Medium,frontend,
Task,Add skeleton loaders to User Manager,Display skeleton loading bars when User Manager data is loading or an operation is in progress.,Medium,frontend,Skeleton Loaders - Reactive Design
Sub-task,Show skeleton during initial User Manager data fetch,Render skeleton bars while the user list is being fetched on component mount.,Medium,frontend,Add skeleton loaders to User Manager
Sub-task,Show skeleton during User Manager edit and delete operations,Render skeleton bars while an edit or delete request is in flight.,Medium,frontend,Add skeleton loaders to User Manager
Task,Add skeleton loaders to Content Manager,Display skeleton loading bars when Content Manager data is loading or an operation is in progress.,Medium,frontend,Skeleton Loaders - Reactive Design
Sub-task,Show skeleton during initial Content Manager data fetch,Render skeleton bars while the post list is being fetched on component mount.,Medium,frontend,Add skeleton loaders to Content Manager
Sub-task,Show skeleton during Content Manager delete operations,Render skeleton bars while a delete request is in flight.,Medium,frontend,Add skeleton loaders to Content Manager
Story,Responsive Navbar,Adapt the navigation bar for small screens using a horizontal layout below a justified breakpoint.,Medium,frontend,
Task,Implement horizontal navbar for mobile view,Convert the vertical navbar to a horizontal layout on small screen sizes.,Medium,frontend,Responsive Navbar
Sub-task,Define and document breakpoints with justification,Choose breakpoints and write justification for each in README.md.,Medium,frontend,Implement horizontal navbar for mobile view
Sub-task,Write CSS media queries for mobile tablet and desktop,Implement the three-tier responsive layout using CSS media queries.,Medium,frontend,Implement horizontal navbar for mobile view
Sub-task,Test navbar on multiple device types via DevTools,Verify navbar renders correctly on phone tablet and desktop viewports.,Medium,frontend,Implement horizontal navbar for mobile view
Story,Update User Endpoint,Expose a PUT or PATCH endpoint that allows updating user fields.,Medium,backend,
Task,Create PUT/PATCH /api/users/:id endpoint,Build the route handler for updating a user record by ID.,Medium,backend,Update User Endpoint
Sub-task,Validate request body fields for user update,Check that required fields are present and properly typed before processing.,Medium,backend,Create PUT/PATCH /api/users/:id endpoint
Sub-task,Hash updated password if a new password is provided,Run bcrypt hash on the new password before saving to the database.,High,backend,Create PUT/PATCH /api/users/:id endpoint
Sub-task,Return updated user data in the response,Send back the updated user object after a successful save.,Low,backend,Create PUT/PATCH /api/users/:id endpoint
Story,Delete User Endpoint with Cascade,Expose a DELETE endpoint that removes a user and all their posts and comments.,High,backend,
Task,Create DELETE /api/users/:id endpoint,Build the route handler for deleting a user and cascading the deletion.,High,backend,Delete User Endpoint with Cascade
