EN,"<= Language Selection - English or French
<= Sélection de la Langue - Anglais ou Français",
TYPE,SECTION,DESCRIPTION
Section,PROJECT REQUIREMENTS,
Requirement,🛠️ GitHub Repository Setup,"
Create a new private repository and add all coaches as collaborators immediately upon repository creation.
"
Requirement,🛠️ GitHub Branch Structure,"
Your repository must follow this branching model throughout development:
     • main → Production-ready branch (only branch graded)
     • dev → Integration branch; receives completed features
     • feature/* → One branch per feature
                      → Must be created from dev
                      → Must be merged back into dev when completed

🚫 No direct commits to main
"
Requirement,🧩 Workflow - Frontend & Backend,"
Students Working in Teams: The frontend and backend must be developed in parallel. One student should work on the frontend while the other works on the backend. The commit history and branch activity must clearly demonstrate simultaneous development, not sequential work or last-minute contributions.

Students Working Solo: The backend must be developed first, followed by the frontend. The commit history and branches must clearly show that the backend was completed before the frontend development began.
"
Requirement,🛠️ GitHub Final Branch State,"
Before submitting the module:
     1. All feature branches must be merged into dev
     2. The dev branch must then be merged into main
     3. The main branch must reflect the final, stable version of the project

The commit history must clearly demonstrate this workflow:
     • feature → dev → main

⚠️ Only the main branch will be graded.
"
Requirement,🛠️ Resume,"
Provide an updated version of your résumé, incorporating the improvement instructions you received.
"
Requirement,🛠️ Postman Collection,"
Create and use a Postman collection that covers all endpoints for the current module. All parameters must be set in advance, and the collection should function without requiring any modification to the queries.

Export the collection as PostmanCollection.json and place it in the root directory of your project.
"
Requirement,📄 README.md Document,"
Create a README.md file that clearly explains your project to someone with no prior knowledge of the setup. 

It must include:
     • Project Title and clear Description
     • Tech Stack
     • Project Structure
     • Installation / Setup Instructions
     • Environment Variables
     • API Documentation 
     • Author

* If a section does not apply to your project, clearly mention that instead of leaving it unexplained.

File name & Location : ./README.md
"
Requirement,📄 Submission Summary Document,"
Submit a summary document (.txt, .md, .docx) through the platform during the deliverable step, as an attachment or public Google Docs link (view access enabled).

The document must include:
     • Student Name
     • Module Name
     • Project Repository Link
     • All Required Video Links
     • Any Required Credentials (e.g., .env values, login details if applicable)

File name: submission-summary.md / .txt / .docx

Important: This file must NOT be committed to GitHub.
"
