"Summary","Issue Type","Priority","Description","Labels"
"[Setup] Create private repo Fullstack_Codebloggs and add all coaches as collaborators","Story","High","Done immediately on repo creation. Branch: main (default).","DOCS SHARED SETUP"
"[Setup] Create dev branch from main","Story","High","All feature work branches off dev, never off main.","DOCS SHARED SETUP"
"[Setup] Create DOCS branch from dev","Story","High","All shared documentation tasks (wireframe analysis, ai-spec, README) live here.","DOCS SHARED SETUP"
"[Setup] Protect main branch - no direct commits allowed","Story","High","Configure branch protection so all merges to main go through dev only.","DOCS SHARED SETUP"
"[Setup] Initialize Node/Express backend folder structure","Story","High","Empty backend: server.js, routes/, controllers/, models/, database/. Branch: feature/backend-config.","BACKEND SETUP"
"[Setup] Initialize React frontend with React Bootstrap and Redux","Story","High","Install react-bootstrap, redux, redux-thunk, react-router-dom, react-use-cookie. Branch: feature/layout.","FRONTEND SETUP"
"[Docs | Wireframe] Create wireframe-analysis.md on DOCS branch","Story","High","Both developers contribute. Must be fully completed before any coding begins.","DOCS SHARED WIREFRAME"
"[Docs | Wireframe] Analyze Login/Registration wireframe","Story","High","Answer: data needed from backend? Actions triggered? Document POST /session and POST /users with params and sample responses.","DOCS SHARED WIREFRAME"
"[Docs | Wireframe] Analyze Main Page / Post Modal wireframe","Story","High","Document GET /users/:id for header display and POST /posts for modal submit. Include sample responses.","DOCS SHARED WIREFRAME"
"[Docs | Wireframe] Analyze Home wireframe","Story","High","Document GET /user/:id, GET /posts, PATCH /posts/:id (like), POST /comments. Include sample responses.","DOCS SHARED WIREFRAME"
"[Docs | Wireframe] Analyze Bloggs wireframe","Story","High","Document GET /posts (all users sorted desc) and GET /comments?post_id=. Include sample responses.","DOCS SHARED WIREFRAME"
"[Docs | Wireframe] Analyze Network wireframe","Story","High","Document GET /users (all) and GET /posts?user_id= (latest post per user). Include sample responses.","DOCS SHARED WIREFRAME"
"[Docs | Wireframe] Analyze Admin wireframe","Story","High","No dynamic data for module 9 (cards are under construction). Document restricted access logic.","DOCS SHARED WIREFRAME"
"[Docs | Wireframe] Team sign-off: agree on all API contracts before coding begins","Story","High","Both developers must approve every endpoint path, params, and response shape before writing any code.","DOCS SHARED WIREFRAME"
"[Docs | AI Spec] Create ai/ai-spec.md - global project AI specification","Story","High","Covers: project identity, scope, architecture, repo structure, allowed tech, coding conventions, definition of done. DOCS branch.","DOCS SHARED AI-SPEC"
"[Docs | AI Spec] Team review and finalize ai-spec.md before feature work begins","Story","High","Both developers read and agree. This file is included in every AI prompt going forward.","DOCS SHARED AI-SPEC"
"[Backend | Config] Create ai/features/configuration.feature.md","Story","High","Feature goal, scope, requirements, interfaces, acceptance criteria. Used with ai-spec.md when prompting AI.","BACKEND CONFIG"
"[Backend | Config] Add all required backend dependencies to package.json","Story","High","Includes: express, mongoose, cors, bcrypt, nodemon, dotenv, cookie-parser.","BACKEND CONFIG"
"[Backend | Config] Create database/connection.js with MongoDB connection","Story","High","Uses MONGO_URI from .env. Exports the connection. Handles connection errors.","BACKEND CONFIG"
"[Backend | Config] Configure server.js with middleware, CORS, and port","Story","High","Imports express, cors, cookie-parser, connection. Sets up JSON body parsing. Reads PORT from .env.","BACKEND CONFIG"
"[Backend | Config] Create route files for users, sessions, posts, comments","Story","High","Each file in routes/. Each route imports its controller and defines path + HTTP method + controller method.","BACKEND CONFIG"
"[Backend | Config] Import and register all route files in server.js","Story","High","server.js must app.use() all four route files with correct base paths (/users, /session, /posts, /comments).","BACKEND CONFIG"
"[Backend | Schemas] Create ai/features/schemas.feature.md","Story","High","Document all four schemas with field names, types, validations, and relationships.","BACKEND SCHEMAS"
"[Backend | Schemas] Create User schema in models/User.js","Story","High","Fields: first_name, last_name, email (unique), password (hashed), birthday, status (String or Boolean), auth_level (default: basic).","BACKEND SCHEMAS"
"[Backend | Schemas] Create Session schema in models/Session.js","Story","High","Fields: user_id (ref User), token (String), created_at, expiry.","BACKEND SCHEMAS"
"[Backend | Schemas] Create Post schema in models/Post.js","Story","High","Fields: user_id (ref User), title, content, likes (Number default 0), created_at.","BACKEND SCHEMAS"
"[Backend | Schemas] Create Comment schema in models/Comment.js","Story","High","Fields: user_id (ref User), post_id (ref Post), content, created_at.","BACKEND SCHEMAS"
"[Backend | Schemas] Verify all 4 schemas create MongoDB collections on first use","Story","Medium","Start server and confirm Users, Sessions, Posts, Comments collections appear in MongoDB.","BACKEND SCHEMAS"
"[Backend | Session API] Create ai/features/session-endpoint.feature.md","Story","High","Scope: login, logout, session validation. Include user flow, expected inputs/outputs, acceptance criteria.","BACKEND SESSION-API"
"[Backend | Session API] POST /session - Login endpoint","Story","High","Accepts email + password. Finds user, compares bcrypt hash. Creates session token, stores in Session collection, returns token in cookie.","BACKEND SESSION-API"
"[Backend | Session API] DELETE /session - Logout endpoint","Story","High","Clears session from Session collection and clears the cookie. Returns 200 with success message.","BACKEND SESSION-API"
"[Backend | Session API] GET /session/validate - Session validation endpoint","Story","High","Reads session token from cookie. Checks Session collection. Verifies token is not expired. Returns user data or 401.","BACKEND SESSION-API"
"[Backend | Session API] Test all /session endpoints in Postman","Story","High","Login happy path, wrong password, logout, validate valid token, validate expired/missing token.","BACKEND SESSION-API"
"[Backend | User API] Create ai/features/user-endpoint.feature.md","Story","High","Scope: create user, get by ID, get all. Include validations and expected responses.","BACKEND USER-API"
"[Backend | User API] POST /users - Create user (registration)","Story","High","Hash password with bcrypt before saving. Set auth_level = 'basic' by default. Return created user (no password in response).","BACKEND USER-API"
"[Backend | User API] GET /users/:id - Get single user by ID","Story","High","Returns user document by MongoDB _id. Excludes password. Returns 404 if not found.","BACKEND USER-API"
"[Backend | User API] GET /users - Get all users","Story","High","Returns array of all users. Excludes password from each. Returns empty array if none.","BACKEND USER-API"
"[Backend | User API] Test all /users endpoints in Postman","Story","High","Register new user, get user by valid ID, get user by invalid ID, get all users.","BACKEND USER-API"
"[Backend | Post API] Create ai/features/post-endpoint.feature.md","Story","High","Scope: create post, update post (likes), get all posts. Include sort order and response shape.","BACKEND POST-API"
"[Backend | Post API] POST /posts - Create new post","Story","High","Body: user_id, title, content. Saves with created_at timestamp. Returns created post.","BACKEND POST-API"
"[Backend | Post API] PATCH /posts/:id - Update post by ID","Story","High","Accepts partial updates. Used primarily to increment likes. Returns updated post.","BACKEND POST-API"
"[Backend | Post API] GET /posts - Get all posts","Story","High","Returns all posts sorted by created_at descending. Optionally filterable by user_id query param.","BACKEND POST-API"
"[Backend | Post API] Test all /posts endpoints in Postman","Story","High","Create post, like a post (PATCH), get all posts, get posts filtered by user_id.","BACKEND POST-API"
"[Backend | Comment API] Create ai/features/comment-endpoint.feature.md","Story","High","Note: checklist has typo 'comment-endpiont' - use correct spelling. Scope: create, update, get all.","BACKEND COMMENT-API"
"[Backend | Comment API] POST /comments - Create new comment","Story","High","Body: user_id, post_id, content. Returns created comment with timestamps.","BACKEND COMMENT-API"
"[Backend | Comment API] PATCH /comments/:id - Update comment by ID","Story","High","Accepts updated content. Returns updated comment document.","BACKEND COMMENT-API"
"[Backend | Comment API] GET /comments - Get all comments","Story","High","Returns all comments. Filterable by post_id query param.","BACKEND COMMENT-API"
"[Backend | Comment API] Test all /comments endpoints in Postman","Story","High","Create comment on a post, update content, get all comments, get by post_id.","BACKEND COMMENT-API"
